Initialized empty Git repository in C:/warren-bank-releases/.git/
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/517326027/416ffb5c-bd5e-409d-adeb-05257a7ca002?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101016Z&X-Amz-Expires=300&X-Amz-Signature=9095e6592c27552f340854b6aca80570c935bdc8a255e18549b2a5b437970e99&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAirPlay-Client-000.05.05-14API-withAllLanguageTranslations-release.apk&response-content-type=application%2Fvnd.android.package-archive [380151/380151] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.5/AirPlay-Client-000.05.05-14API-withAllLanguageTranslations-release.apk" [1]
2025-02-10 URL:https://codeload.github.com/warren-bank/Android-AirPlay-Client/legacy.zip/refs/tags/v0.5.5 [844667] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.5/source/Android-AirPlay-Client-v0.5.5.zip" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/517326027/95f36ca6-0470-46c2-8dd1-6af0a3fb8866?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101020Z&X-Amz-Expires=300&X-Amz-Signature=20d188640b63040ffa21c2bfe758585be5e9380c652f50fcf8bd019e21770d10&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAirPlay-Client-000.05.04-14API-english-release.apk&response-content-type=application%2Fvnd.android.package-archive [291899/291899] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.4/AirPlay-Client-000.05.04-14API-english-release.apk" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/517326027/a31aabd2-926a-4a51-abfa-b8a9f02b7b5b?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101021Z&X-Amz-Expires=300&X-Amz-Signature=77cf6791f41ae066f420f69432f79e7e634e9686797a8096c7f6dc21bfccdd99&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAirPlay-Client-000.05.04-14API-withAllLanguageTranslations-release.apk&response-content-type=application%2Fvnd.android.package-archive [379528/379528] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.4/AirPlay-Client-000.05.04-14API-withAllLanguageTranslations-release.apk" [1]
2025-02-10 URL:https://codeload.github.com/warren-bank/Android-AirPlay-Client/legacy.zip/refs/tags/v0.5.4 [844209] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.4/source/Android-AirPlay-Client-v0.5.4.zip" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/517326027/54085b45-b7bb-4298-8c37-6d27250612cd?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101025Z&X-Amz-Expires=300&X-Amz-Signature=f95df860c8f040b3d2a6c6e0c4120a808fbe870e7d78cd24bebe0fb83e7cbb7f&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAirPlay-Client-000.05.03-14API-english-release.apk&response-content-type=application%2Fvnd.android.package-archive [290830/290830] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.3/AirPlay-Client-000.05.03-14API-english-release.apk" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/517326027/41ff2fcc-d188-4285-b3b4-8ec3b0f5c3ca?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101026Z&X-Amz-Expires=300&X-Amz-Signature=0d9cd98a90ab2a048505589860652ed2ed182a2c04235a923f369ca33caa875c&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAirPlay-Client-000.05.03-14API-withAllLanguageTranslations-release.apk&response-content-type=application%2Fvnd.android.package-archive [378439/378439] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.3/AirPlay-Client-000.05.03-14API-withAllLanguageTranslations-release.apk" [1]
2025-02-10 URL:https://codeload.github.com/warren-bank/Android-AirPlay-Client/legacy.zip/refs/tags/v0.5.3 [843110] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.3/source/Android-AirPlay-Client-v0.5.3.zip" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/517326027/907932ac-3391-4e58-9110-a37ea0947f64?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101030Z&X-Amz-Expires=300&X-Amz-Signature=74cf1548f423d646499bab5b934b546cdcbde8e5c715067226c57df5f1178b24&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAirPlay-Client-000.05.02-14API-english-release.apk&response-content-type=application%2Fvnd.android.package-archive [289753/289753] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.2/AirPlay-Client-000.05.02-14API-english-release.apk" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/517326027/1dced9b0-9c93-467d-a1b5-5969690e006f?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101032Z&X-Amz-Expires=300&X-Amz-Signature=3f2ba79374f89c804fb08dd9277ce22721cf6ec12b579b7d5835e161e60f2430&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAirPlay-Client-000.05.02-14API-withAllLanguageTranslations-release.apk&response-content-type=application%2Fvnd.android.package-archive [377375/377375] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.2/AirPlay-Client-000.05.02-14API-withAllLanguageTranslations-release.apk" [1]
2025-02-10 URL:https://codeload.github.com/warren-bank/Android-AirPlay-Client/legacy.zip/refs/tags/v0.5.2 [841102] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.2/source/Android-AirPlay-Client-v0.5.2.zip" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/517326027/d64e193a-4f5b-4db6-8286-324e64feb822?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101035Z&X-Amz-Expires=300&X-Amz-Signature=32531264aa9b2ecfcbee8dbdf18dbc514c68828396cc934cd54022f8ca9fd41d&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAirPlay-Client-000.05.01-14API-english-release.apk&response-content-type=application%2Fvnd.android.package-archive [289755/289755] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.1/AirPlay-Client-000.05.01-14API-english-release.apk" [1]
2025-02-10 URL:https://codeload.github.com/warren-bank/Android-AirPlay-Client/legacy.zip/refs/tags/v0.5.1 [736861] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.1/source/Android-AirPlay-Client-v0.5.1.zip" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/517326027/d01fec54-d1fe-47ed-97ae-b258b69422df?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101041Z&X-Amz-Expires=300&X-Amz-Signature=3efbb9e50d0e704cb8fa10a21fa28add80f33118506442997bed76ec87e28dc5&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAirPlay-Client-000.05.00-14API-english-release.apk&response-content-type=application%2Fvnd.android.package-archive [289666/289666] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.0/AirPlay-Client-000.05.00-14API-english-release.apk" [1]
2025-02-10 URL:https://codeload.github.com/warren-bank/Android-AirPlay-Client/legacy.zip/refs/tags/v0.5.0 [736826] -> "warren-bank-releases/Android-AirPlay-Client/v0.5.0/source/Android-AirPlay-Client-v0.5.0.zip" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/517326027/d4aa3fa9-08dd-4587-b34d-ecf533ec84b6?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101044Z&X-Amz-Expires=300&X-Amz-Signature=66fc55939fa5da53fc38e9620f395069c735876e440f3483cdc62bb74fd075e8&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAirPlay-Client-000.04.00-14API-english-release.apk&response-content-type=application%2Fvnd.android.package-archive [263915/263915] -> "warren-bank-releases/Android-AirPlay-Client/v0.4.0/AirPlay-Client-000.04.00-14API-english-release.apk" [1]
2025-02-10 URL:https://codeload.github.com/warren-bank/Android-AirPlay-Client/legacy.zip/refs/tags/v0.4.0 [700249] -> "warren-bank-releases/Android-AirPlay-Client/v0.4.0/source/Android-AirPlay-Client-v0.4.0.zip" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/517326027/8a309155-b807-4f8b-be80-f0882a3d6d80?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101048Z&X-Amz-Expires=300&X-Amz-Signature=644f7745ba8667930f94aed6791547755f075e68c8a321e5376dcd9205a23efc&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAirPlay-Client-000.03.00-14API-english-release.apk&response-content-type=application%2Fvnd.android.package-archive [231218/231218] -> "warren-bank-releases/Android-AirPlay-Client/v0.3.0/AirPlay-Client-000.03.00-14API-english-release.apk" [1]
2025-02-10 URL:https://codeload.github.com/warren-bank/Android-AirPlay-Client/legacy.zip/refs/tags/v0.3.0 [680605] -> "warren-bank-releases/Android-AirPlay-Client/v0.3.0/source/Android-AirPlay-Client-v0.3.0.zip" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/521783068/2e936f0d-b5e3-4a27-af6d-416912fcadf2?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101051Z&X-Amz-Expires=300&X-Amz-Signature=185401737edd9db513343435d88d4a0e15a361bd00850980e19c5217a004225a&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAirTunes-Client-001.00.00-01API-release.apk&response-content-type=application%2Fvnd.android.package-archive [37159/37159] -> "warren-bank-releases/Android-AirTunes-Client/v1.0.0/AirTunes-Client-001.00.00-01API-release.apk" [1]
2025-02-10 URL:https://codeload.github.com/warren-bank/Android-AirTunes-Client/legacy.zip/refs/tags/v1.0.0 [91432] -> "warren-bank-releases/Android-AirTunes-Client/v1.0.0/source/Android-AirTunes-Client-v1.0.0.zip" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/220659153/f5a96000-c4a8-11eb-8350-758be80e5a88?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101054Z&X-Amz-Expires=300&X-Amz-Signature=b4195f00e81e0205c069b0cc008c7031fd4813ff20f9274ce8b30f2fc9466912&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAppRTCMobile-arm64-v8a-release.apk&response-content-type=application%2Fvnd.android.package-archive [3340127/3340127] -> "warren-bank-releases/Android-AppRTCMobile/v1.0.28513.01/AppRTCMobile-arm64-v8a-release.apk" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/220659153/1376c500-c4a9-11eb-9063-8408f936187a?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101056Z&X-Amz-Expires=300&X-Amz-Signature=a0397a245a94829d0ba65fd4657ab3f7afeb5039b77a2d97aa8cf5ab8efb4e97&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAppRTCMobile-armeabi-v7a-release.apk&response-content-type=application%2Fvnd.android.package-archive [2918925/2918925] -> "warren-bank-releases/Android-AppRTCMobile/v1.0.28513.01/AppRTCMobile-armeabi-v7a-release.apk" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/220659153/546ed980-c4a9-11eb-961f-fa5b2878cd4a?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101059Z&X-Amz-Expires=300&X-Amz-Signature=5a356d82a63eaec2f16897fa6cd52a4e320907dfb3a73b576cb6780cef5a6d0c&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAppRTCMobile-x86-release.apk&response-content-type=application%2Fvnd.android.package-archive [3617281/3617281] -> "warren-bank-releases/Android-AppRTCMobile/v1.0.28513.01/AppRTCMobile-x86-release.apk" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/220659153/30ab9380-c4a9-11eb-945b-42c9648b5b79?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101101Z&X-Amz-Expires=300&X-Amz-Signature=38c536d6fc666dc6932f00b3431863a09f6da44f68cebc23ee075cc532f72ff2&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DAppRTCMobile-x86_64-release.apk&response-content-type=application%2Fvnd.android.package-archive [3608984/3608984] -> "warren-bank-releases/Android-AppRTCMobile/v1.0.28513.01/AppRTCMobile-x86_64-release.apk" [1]
2025-02-10 URL:https://codeload.github.com/warren-bank/Android-AppRTCMobile/legacy.zip/refs/tags/v1.0.28513.01 [230688] -> "warren-bank-releases/Android-AppRTCMobile/v1.0.28513.01/source/Android-AppRTCMobile-v1.0.28513.01.zip" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/221194459/85bcd55c-8449-4732-abe4-f6b226b75055?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101104Z&X-Amz-Expires=300&X-Amz-Signature=223de10c3f7b7225c8ba3f46b5aafd4ec0ec5b3b09ebcc3d32c1d46d5fec3e6f&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DBonjour-WebRTC-001.04.00-21API-withAllLanguageTranslations-arm64-v8a-release.apk&response-content-type=application%2Fvnd.android.package-archive [6228717/6228717] -> "warren-bank-releases/Android-Bonjour-WebRTC/v01.04.00/Bonjour-WebRTC-001.04.00-21API-withAllLanguageTranslations-arm64-v8a-release.apk" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/221194459/7e17956c-97e4-4b0b-9ad5-9daa671418a2?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101107Z&X-Amz-Expires=300&X-Amz-Signature=4d26aef187f3001ecc7ad527aa2bcdeb7a56d5b4f5a3362f48aabf1bfc64be10&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DBonjour-WebRTC-001.04.00-21API-withAllLanguageTranslations-armeabi-v7a-release.apk&response-content-type=application%2Fvnd.android.package-archive [4644864/4644864] -> "warren-bank-releases/Android-Bonjour-WebRTC/v01.04.00/Bonjour-WebRTC-001.04.00-21API-withAllLanguageTranslations-armeabi-v7a-release.apk" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/221194459/d6b53380-bf6f-4ae0-a20a-b786c5abd889?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101109Z&X-Amz-Expires=300&X-Amz-Signature=ad4a77fdad25742b56c5ccdca135724505f3b3611f6b22fffd6210831118b1de&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DBonjour-WebRTC-001.04.00-21API-withAllLanguageTranslations-x86-release.apk&response-content-type=application%2Fvnd.android.package-archive [6009323/6009323] -> "warren-bank-releases/Android-Bonjour-WebRTC/v01.04.00/Bonjour-WebRTC-001.04.00-21API-withAllLanguageTranslations-x86-release.apk" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/221194459/4899253a-fbec-45b9-93fe-2896997f6866?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101112Z&X-Amz-Expires=300&X-Amz-Signature=11f8d30e4d6578afbd41392c5e8419f516fabdc98988f06675b2484c95f2489a&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DBonjour-WebRTC-001.04.00-21API-withAllLanguageTranslations-x86_64-release.apk&response-content-type=application%2Fvnd.android.package-archive [6194916/6194916] -> "warren-bank-releases/Android-Bonjour-WebRTC/v01.04.00/Bonjour-WebRTC-001.04.00-21API-withAllLanguageTranslations-x86_64-release.apk" [1]
2025-02-10 URL:https://codeload.github.com/warren-bank/Android-Bonjour-WebRTC/legacy.zip/refs/tags/v01.04.00 [775161] -> "warren-bank-releases/Android-Bonjour-WebRTC/v01.04.00/source/Android-Bonjour-WebRTC-v01.04.00.zip" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/221194459/dd52867b-9785-4490-adf6-d669f138e2b2?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101117Z&X-Amz-Expires=300&X-Amz-Signature=033b2cb60c97d243cb8efa5c6b430698e6b8b6ef66724cad4cdc6a37677741ac&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DBonjour-WebRTC-001.03.09-16API-withAllLanguageTranslations-arm64-v8a-release.apk&response-content-type=application%2Fvnd.android.package-archive [3806002/3806002] -> "warren-bank-releases/Android-Bonjour-WebRTC/v01.03.09/Bonjour-WebRTC-001.03.09-16API-withAllLanguageTranslations-arm64-v8a-release.apk" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/221194459/9c03cb86-ced4-4b2d-a528-29b80ace888a?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101119Z&X-Amz-Expires=300&X-Amz-Signature=06d048681d2c3f8c5bb041ed979e1250ffc915f76cacf542ee409963bf931e4c&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DBonjour-WebRTC-001.03.09-16API-withAllLanguageTranslations-armeabi-v7a-release.apk&response-content-type=application%2Fvnd.android.package-archive [3378783/3378783] -> "warren-bank-releases/Android-Bonjour-WebRTC/v01.03.09/Bonjour-WebRTC-001.03.09-16API-withAllLanguageTranslations-armeabi-v7a-release.apk" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/221194459/efb6f787-a18c-4380-a72a-246297a19ef4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101121Z&X-Amz-Expires=300&X-Amz-Signature=cbc37b85d2fa90fa445a06ddefe1a74bc4c97e30274bafdbc0c431b1b9350848&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DBonjour-WebRTC-001.03.09-16API-withAllLanguageTranslations-x86-release.apk&response-content-type=application%2Fvnd.android.package-archive [4088385/4088385] -> "warren-bank-releases/Android-Bonjour-WebRTC/v01.03.09/Bonjour-WebRTC-001.03.09-16API-withAllLanguageTranslations-x86-release.apk" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/221194459/2a73a903-276f-4f28-bac5-fd696d452b2c?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101123Z&X-Amz-Expires=300&X-Amz-Signature=314ce0bfbfeb15730c7c633557ac8f9911ac7418c1567ad4b1b3c6a839a96893&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DBonjour-WebRTC-001.03.09-16API-withAllLanguageTranslations-x86_64-release.apk&response-content-type=application%2Fvnd.android.package-archive [4083775/4083775] -> "warren-bank-releases/Android-Bonjour-WebRTC/v01.03.09/Bonjour-WebRTC-001.03.09-16API-withAllLanguageTranslations-x86_64-release.apk" [1]
2025-02-10 URL:https://codeload.github.com/warren-bank/Android-Bonjour-WebRTC/legacy.zip/refs/tags/v01.03.09 [775003] -> "warren-bank-releases/Android-Bonjour-WebRTC/v01.03.09/source/Android-Bonjour-WebRTC-v01.03.09.zip" [1]
2025-02-10 URL:https://objects.githubusercontent.com/github-production-release-asset-2e65be/221194459/4da47835-650a-4ab1-970d-50749cbe9cdc?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=releaseassetproduction%2F20250210%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250210T101128Z&X-Amz-Expires=300&X-Amz-Signature=7cb308cb2a9d81f336b635d0b252e81244035144f6a432abca477035f4ce0d8d&X-Amz-SignedHeaders=host&response-content-disposition=attachment%3B%20filename%3DBonjour-WebRTC-001.03.08-16API-withAllLanguageTranslations-arm64-v8a-release.apk&response-content-type=application%2Fvnd.android.package-archive [3805802/3805802] -> "warren-bank-releases/Android-Bonjour-WebRTC/v01.03.08/Bonjour-WebRTC-001.03.08-16API-withAllLanguageTranslations-arm64-v8a-release.apk" [1]
